# citation: Williams, G. P. (2009). Electron binding energies. In X-Ray Data Booklet (Table 1-1). Center for X-Ray Optics, Lawrence Berkeley National Laboratory. https://xdb.lbl.gov/Section1/Table_1-1.p

energy_eV,atomic_number,element,line,relative_intensity,weight
446.5,23,V,Ll,28,0.127854
511.3,23,V,"La1,2",111,0.506849
519.2,23,V,Lb1,80,0.365297
4944.6,23,V,Ka2,50,0.30303
4952.2,23,V,Ka1,100,0.606061
5427.3,23,V,"Kb1,3",15,0.090909
1775.4,74,W,Ma1,100,1
7387.8,74,W,Ll,5,0.023041
8335.2,74,W,La2,11,0.050691
8397.6,74,W,La1,100,0.460829
9672.4,74,W,Lb1,67,0.308756
9961.5,74,W,Lb2,21,0.096774
11285.9,74,W,Lg1,13,0.059908
57981.7,74,W,Ka2,58,0.291457
59318.2,74,W,Ka1,100,0.502513
66951.4,74,W,Kb3,11,0.055276
67244.3,74,W,Kb1,22,0.110553
69067,74,W,Kb2,8,0.040201
3636,54,Xe,Ll,4,0.019704
4093,54,Xe,La2,11,0.054187
4109.9,54,Xe,La1,100,0.492611
4414,54,Xe,Lb1,60,0.295567
4714,54,Xe,"Lb2,15",20,0.098522
5034,54,Xe,Lg1,8,0.039409
29458,54,Xe,Ka2,54,0.290323
29779,54,Xe,Ka1,100,0.537634
33562,54,Xe,Kb3,9,0.048387
33624,54,Xe,Kb1,18,0.096774
34415,54,Xe,Kb2,5,0.026882
1685.4,39,Y,Ll,5,0.028902
1920.5,39,Y,La2,11,0.063584
1922.6,39,Y,La1,100,0.578035
1995.8,39,Y,Lb1,57,0.32948
14882.9,39,Y,Ka2,52,0.292135
14958.4,39,Y,Ka1,100,0.561798
16725.8,39,Y,Kb3,8,0.044944
16737.8,39,Y,Kb1,15,0.08427
17015.4,39,Y,Kb2,3,0.016854
1521.4,70,Yb,Ma1,100,1
6545.5,70,Yb,Ll,4,0.018868
7367.3,70,Yb,La2,11,0.051887
7415.6,70,Yb,La1,100,0.471698
8401.8,70,Yb,Lb1,65,0.306604
8758.8,70,Yb,"Lb2,15",20,0.09434
9780.1,70,Yb,Lg1,12,0.056604
51354,70,Yb,Ka2,57,0.290816
52388.9,70,Yb,Ka1,100,0.510204
59140,70,Yb,Kb3,11,0.056122
59370,70,Yb,Kb1,21,0.107143
60980,70,Yb,Kb2,7,0.035714
884,30,Zn,Ll,7,0.038251
1011.7,30,Zn,"La1,2",111,0.606557
1034.7,30,Zn,Lb1,65,0.355191
8615.8,30,Zn,Ka2,51,0.303571
8638.9,30,Zn,Ka1,100,0.595238
9572,30,Zn,"Kb1,3",17,0.10119
1792,40,Zr,Ll,5,0.028902
2039.9,40,Zr,La2,11,0.063584
2042.4,40,Zr,La1,100,0.578035
2124.4,40,Zr,Lb1,54,0.312139
2219.4,40,Zr,"Lb2,15",1,0.00578
2302.7,40,Zr,Lg1,2,0.011561
15690.9,40,Zr,Ka2,52,0.292135
15775.1,40,Zr,Ka1,100,0.561798
17654,40,Zr,Kb3,8,0.044944
17667.8,40,Zr,Kb1,15,0.08427
17970,40,Zr,Kb2,3,0.016854
