#citation: # EELS Atlas. EELS.info. Retrieved June 22, 2026, from https://eels.info/atlas

atomic_number,symbol,element,edge_label,edge_energy_eV
87,Fr,Francium,major,15031
87,Fr,Francium,major,3136
87,Fr,Francium,major,3000
87,Fr,Francium,minor,18639
87,Fr,Francium,minor,17907
87,Fr,Francium,minor,4652
87,Fr,Francium,minor,4327
87,Fr,Francium,minor,3663
87,Fr,Francium,minor,1153
87,Fr,Francium,minor,980
87,Fr,Francium,minor,810
87,Fr,Francium,minor,603
87,Fr,Francium,minor,577
88,Ra,Radium,major,15444
88,Ra,Radium,major,3248
88,Ra,Radium,major,3105
88,Ra,Radium,major,299
88,Ra,Radium,major,67
88,Ra,Radium,minor,19237
88,Ra,Radium,minor,18484
88,Ra,Radium,minor,4822
88,Ra,Radium,minor,4490
88,Ra,Radium,minor,3792
88,Ra,Radium,minor,1208
88,Ra,Radium,minor,1058
88,Ra,Radium,minor,879
88,Ra,Radium,minor,636
88,Ra,Radium,minor,603
88,Ra,Radium,minor,254
88,Ra,Radium,minor,153
89,Ac,Actinium,major,15871
89,Ac,Actinium,major,3370
89,Ac,Actinium,major,3219
89,Ac,Actinium,minor,19840
89,Ac,Actinium,minor,19083
89,Ac,Actinium,minor,5002
89,Ac,Actinium,minor,4656
89,Ac,Actinium,minor,3909
89,Ac,Actinium,minor,1269
89,Ac,Actinium,minor,1080
89,Ac,Actinium,minor,890
89,Ac,Actinium,minor,675
90,Th,Thorium,major,16300
90,Th,Thorium,major,3491
90,Th,Thorium,major,3332
90,Th,Thorium,major,344
90,Th,Thorium,major,335
90,Th,Thorium,major,94
90,Th,Thorium,major,88
90,Th,Thorium,minor,20472
90,Th,Thorium,minor,19693
90,Th,Thorium,minor,5182
90,Th,Thorium,minor,4830
90,Th,Thorium,minor,4046
90,Th,Thorium,minor,1330
90,Th,Thorium,minor,1168
90,Th,Thorium,minor,967
90,Th,Thorium,minor,714
90,Th,Thorium,minor,676
90,Th,Thorium,minor,290
90,Th,Thorium,minor,229
90,Th,Thorium,minor,182
91,Pa,Protactinium,major,16733
91,Pa,Protactinium,major,3611
91,Pa,Protactinium,major,3442
91,Pa,Protactinium,major,371
91,Pa,Protactinium,major,360
91,Pa,Protactinium,major,94
91,Pa,Protactinium,minor,21105
91,Pa,Protactinium,minor,20314
91,Pa,Protactinium,minor,5367
91,Pa,Protactinium,minor,5001
91,Pa,Protactinium,minor,4174
91,Pa,Protactinium,minor,1387
91,Pa,Protactinium,minor,1224
91,Pa,Protactinium,minor,1007
91,Pa,Protactinium,minor,743
91,Pa,Protactinium,minor,708
91,Pa,Protactinium,minor,310
91,Pa,Protactinium,minor,223
92,U,Uranium,major,17166
92,U,Uranium,major,3728
92,U,Uranium,major,3552
92,U,Uranium,major,391
92,U,Uranium,major,381
92,U,Uranium,major,105
92,U,Uranium,major,96
92,U,Uranium,minor,21757
92,U,Uranium,minor,20948
92,U,Uranium,minor,5548
92,U,Uranium,minor,5182
92,U,Uranium,minor,4303
92,U,Uranium,minor,1441
92,U,Uranium,minor,1273
92,U,Uranium,minor,1045
92,U,Uranium,minor,780
92,U,Uranium,minor,738
92,U,Uranium,minor,324
92,U,Uranium,minor,259
92,U,Uranium,minor,195
93,Np,Neptunium,major,17610
93,Np,Neptunium,major,3850
93,Np,Neptunium,major,3666
93,Np,Neptunium,major,415
93,Np,Neptunium,major,404
93,Np,Neptunium,major,109
93,Np,Neptunium,major,101
93,Np,Neptunium,minor,22427
93,Np,Neptunium,minor,21601
93,Np,Neptunium,minor,5723
93,Np,Neptunium,minor,5366
93,Np,Neptunium,minor,4435
93,Np,Neptunium,minor,1501
93,Np,Neptunium,minor,1328
93,Np,Neptunium,minor,1087
93,Np,Neptunium,minor,816
93,Np,Neptunium,minor,770
93,Np,Neptunium,minor,283
93,Np,Neptunium,minor,206
94,Pu,Plutonium,major,18057
94,Pu,Plutonium,major,3973
94,Pu,Plutonium,major,3778
94,Pu,Plutonium,major,446
94,Pu,Plutonium,major,432
94,Pu,Plutonium,major,116
94,Pu,Plutonium,major,105
94,Pu,Plutonium,minor,23097
94,Pu,Plutonium,minor,22266
94,Pu,Plutonium,minor,5933
94,Pu,Plutonium,minor,5541
94,Pu,Plutonium,minor,4557
94,Pu,Plutonium,minor,1559
94,Pu,Plutonium,minor,1372
94,Pu,Plutonium,minor,1115
94,Pu,Plutonium,minor,849
94,Pu,Plutonium,minor,801
94,Pu,Plutonium,minor,352
94,Pu,Plutonium,minor,274
94,Pu,Plutonium,minor,207
95,Am,Americium,major,18504
95,Am,Americium,major,4092
95,Am,Americium,major,3887
95,Am,Americium,major,116
95,Am,Americium,major,103
95,Am,Americium,minor,23773
95,Am,Americium,minor,22944
95,Am,Americium,minor,6121
95,Am,Americium,minor,5710
95,Am,Americium,minor,4667
95,Am,Americium,minor,1617
95,Am,Americium,minor,1412
95,Am,Americium,minor,1136
95,Am,Americium,minor,879
95,Am,Americium,minor,828
96,Cm,Curium,,
97,Bk,Berkelium,,
98,Cf,Californium,,
99,Es,Einsteinium,,
100,Fm,Fermium,,
101,Md,Mendelevium,,
102,No,Nobelium,,
103,Lr,Lawrencium,,
104,Rf,Rutherfordium,,
105,Db,Dubnium,,
106,Sg,Seaborgium,,
107,Bh,Bohrium,,
108,Hs,Hassium,,
109,Mt,Meitnerium,,
110,Ds,Darmstadtium,,
111,Rg,Roentgenium,,
112,Cn,Copernicium,,
113,Uut,Ununtrium,,
114,Fl,Flerovium,,
115,Uup,Ununpentium,,
116,Lv,Livermorium,,
117,Uus,Ununseptium,,
118,Uuo,Ununoctium,,
